Year,NOC,Gold,Silver,Bronze,Is_Host,Total_medals,Total_events_4_Years,Total_events_8_Years,Total_events_12_Years,Total_disciplines_4_Years,Total_disciplines_8_Years,Total_disciplines_12_Years,Total_sports_4_Years,Total_sports_8_Years,Total_sports_12_Years,Participants_4_Years,Participants_8_Years,Participants_12_Years,Gold_4_Years,Gold_8_Years,Gold_12_Years,Total_medals_4_Years,Total_medals_8_Years,Total_medals_12_Years
1948,DEN,7,17,27,0,51,126,0,0,23,0,0,17,0,0,158,68,0,2,14,0,14,34,0
1952,DEN,3,1,5,0,9,109,110,0,20,25,0,14,22,0,122,107,0,6,0,0,15,17,0
1956,DEN,1,4,1,0,6,117,102,43,20,18,10,14,14,11,94,233,15,0,5,1,11,87,6
1960,DEN,2,17,4,0,23,129,156,97,25,29,22,19,22,20,173,246,36,0,26,4,6,71,9
1964,DEN,7,1,4,0,12,136,126,0,23,23,0,17,17,0,253,158,68,7,2,14,51,14,34
1968,DEN,5,6,6,0,17,149,109,110,23,20,25,17,14,22,201,122,107,3,6,0,9,15,17
1972,DEN,1,0,0,0,1,151,117,102,23,20,18,17,14,14,51,94,233,1,0,5,6,11,87
1976,DEN,3,0,5,0,8,150,129,156,23,25,29,17,19,22,109,173,246,2,0,26,23,6,71
1980,DEN,4,2,2,0,8,163,136,126,25,23,23,19,17,17,71,253,158,7,7,2,12,51,14
1984,DEN,0,3,10,0,13,172,149,109,24,23,20,18,17,14,93,201,122,5,3,6,17,9,15
1988,DEN,3,1,3,0,7,195,151,117,28,23,20,21,17,14,155,51,94,1,1,0,1,6,11
1992,DEN,3,2,9,0,14,198,150,129,27,23,25,21,17,19,81,109,173,3,2,0,8,23,6
1996,DEN,21,1,1,0,23,203,163,136,27,25,23,21,19,17,60,71,253,4,7,7,8,12,51
2000,DEN,18,3,4,0,25,221,172,149,29,24,23,21,18,17,74,93,201,0,5,3,13,17,9
2004,DEN,19,1,9,0,29,237,195,151,31,28,23,23,21,17,130,155,51,3,1,1,7,1,6
2008,DEN,6,7,6,0,19,257,198,150,34,27,23,25,21,17,144,81,109,3,3,2,14,8,23
2012,DEN,3,5,8,0,16,271,203,163,37,27,25,25,21,19,145,60,71,21,4,7,23,8,12
2016,DEN,15,10,16,0,41,300,221,172,40,29,24,27,21,18,124,74,93,18,0,5,25,13,17
2020,DEN,4,24,5,0,33,301,237,195,40,31,28,27,23,21,115,130,155,19,3,1,29,7,1
2024,DEN,17,5,19,0,41,302,257,198,42,34,27,27,25,21,108,144,81,6,3,3,19,14,8
1984,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,DJI,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,DJI,0,0,0,0,0,221,0,0,29,0,0,21,0,0,3,0,0,0,0,0,0,0,0
2008,DJI,0,0,0,0,0,237,0,0,31,0,0,23,0,0,6,0,0,0,0,0,1,0,0
2012,DJI,0,0,0,0,0,257,0,0,34,0,0,25,0,0,8,0,0,0,0,0,0,0,0
2016,DJI,0,0,0,0,0,271,0,0,37,0,0,25,0,0,5,0,0,0,0,0,0,0,0
2020,DJI,0,0,0,0,0,300,221,0,40,29,0,27,21,0,2,3,0,0,0,0,0,0,0
2024,DJI,0,0,0,0,0,302,237,0,42,31,0,27,23,0,2,6,0,0,0,0,0,1,0
1996,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,DMA,0,0,0,0,0,271,0,0,37,0,0,25,0,0,6,0,0,0,0,0,0,0,0
2016,DMA,0,0,0,0,0,300,0,0,40,0,0,27,0,0,4,0,0,0,0,0,0,0,0
2020,DMA,0,0,0,0,0,301,0,0,40,0,0,27,0,0,2,0,0,0,0,0,0,0,0
2024,DMA,1,0,0,0,1,302,0,0,42,0,0,27,0,0,2,0,0,0,0,0,0,0,0
1964,DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,DOM,0,0,0,0,0,163,0,0,25,0,0,19,0,0,1,0,0,0,0,0,0,0,0
1984,DOM,0,0,1,0,1,172,0,0,24,0,0,18,0,0,24,0,0,0,0,0,0,0,0
1988,DOM,0,0,0,0,0,195,0,0,28,0,0,21,0,0,5,0,0,0,0,0,0,0,0
1992,DOM,0,0,0,0,0,198,0,0,27,0,0,21,0,0,11,0,0,0,0,0,0,0,0
1996,DOM,0,0,0,0,0,203,163,0,27,25,0,21,19,0,7,1,0,0,0,0,0,0,0
2000,DOM,0,0,0,0,0,221,172,0,29,24,0,21,18,0,24,24,0,0,0,0,1,0,0
2004,DOM,1,0,0,0,1,237,195,0,31,28,0,23,21,0,18,5,0,0,0,0,0,0,0
2008,DOM,1,1,0,0,2,257,198,0,34,27,0,25,21,0,32,11,0,0,0,0,0,0,0
2012,DOM,1,1,0,0,2,271,203,163,37,27,25,25,21,19,16,7,1,0,0,0,0,0,0
2016,DOM,0,0,1,0,1,300,221,172,40,29,24,27,21,18,13,24,24,0,0,0,0,1,0
2020,DOM,0,7,25,0,32,301,237,195,40,31,28,27,23,21,33,18,5,1,0,0,1,0,0
2024,DOM,1,0,2,0,3,302,257,198,42,34,27,27,25,21,27,32,11,1,0,0,2,0,0
1924,ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,ECU,0,0,0,0,0,126,0,0,23,0,0,17,0,0,4,0,0,0,0,0,0,0,0
1984,ECU,0,0,0,0,0,172,0,0,24,0,0,18,0,0,41,0,0,0,0,0,0,0,0
1988,ECU,0,0,0,0,0,195,0,0,28,0,0,21,0,0,4,0,0,0,0,0,0,0,0
1992,ECU,0,0,0,0,0,198,0,0,27,0,0,21,0,0,8,0,0,0,0,0,0,0,0
1996,ECU,1,0,0,0,1,203,126,0,27,23,0,21,17,0,16,4,0,0,0,0,0,0,0
2000,ECU,0,0,0,0,0,221,172,0,29,24,0,21,18,0,15,41,0,0,0,0,0,0,0
2004,ECU,0,0,0,0,0,237,195,0,31,28,0,23,21,0,15,4,0,0,0,0,0,0,0
2008,ECU,0,1,0,0,1,257,198,0,34,27,0,25,21,0,15,8,0,0,0,0,0,0,0
2012,ECU,0,0,0,0,0,271,203,126,37,27,23,25,21,17,28,16,4,1,0,0,1,0,0
2016,ECU,0,0,0,0,0,300,221,172,40,29,24,27,21,18,11,15,41,0,0,0,0,0,0
2020,ECU,2,1,0,0,3,301,237,195,40,31,28,27,23,21,18,15,4,0,0,0,0,0,0
2024,ECU,1,3,2,0,6,302,257,198,42,34,27,27,25,21,26,15,8,0,0,0,1,0,0
1906,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,EGY,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,EGY,2,1,2,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1948,EGY,2,2,1,0,5,156,0,0,29,0,0,22,0,0,22,0,0,0,0,0,0,0,0
1952,EGY,0,0,1,0,1,126,0,0,23,0,0,17,0,0,30,0,0,0,0,0,0,0,0
1956,EGY,0,0,0,0,0,109,0,0,20,0,0,14,0,0,43,0,0,2,0,0,4,0,0
1964,EGY,0,0,0,0,0,129,0,0,25,0,0,19,0,0,66,5,0,2,0,0,5,0,0
1968,EGY,0,0,0,0,0,136,156,0,23,29,0,17,22,0,166,22,0,2,0,0,5,0,0
1972,EGY,0,0,0,0,0,149,126,0,23,23,0,17,17,0,196,30,0,0,0,0,1,0,0
1976,EGY,0,0,0,0,0,151,109,0,23,20,0,17,14,0,6,43,0,0,2,0,0,4,0
1984,EGY,0,1,0,0,1,163,129,0,25,25,0,19,19,0,83,66,5,0,2,0,0,5,0
1988,EGY,0,0,0,0,0,172,136,156,24,23,29,18,17,22,35,166,22,0,2,0,0,5,0
1992,EGY,0,0,0,0,0,195,149,126,28,23,23,21,17,17,26,196,30,0,0,0,0,1,0
1996,EGY,0,0,0,0,0,198,151,109,27,23,20,21,17,14,26,6,43,0,0,2,0,0,4
2000,EGY,0,0,0,0,0,221,163,129,29,25,25,21,19,19,148,83,66,0,0,2,1,0,5
2004,EGY,1,1,3,0,5,237,172,136,31,24,23,23,18,17,59,35,166,0,0,2,0,0,5
2008,EGY,0,0,1,0,1,257,195,149,34,28,23,25,21,17,83,26,196,0,0,0,0,0,1
2012,EGY,0,2,0,0,2,271,198,151,37,27,23,25,21,17,33,26,6,0,0,0,0,0,0
2016,EGY,0,0,3,0,3,300,221,163,40,29,25,27,21,19,103,148,83,0,0,0,0,1,0
2020,EGY,1,1,4,0,6,301,237,172,40,31,24,27,23,18,104,59,35,1,0,0,5,0,0
2024,EGY,1,1,1,0,3,302,257,195,42,34,28,27,25,21,116,83,26,0,0,0,1,0,0
2020,EOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,EOR,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ERI,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,ERI,0,0,0,0,0,300,0,0,40,0,0,27,0,0,3,0,0,0,0,0,0,0,0
2020,ERI,0,0,0,0,0,301,0,0,40,0,0,27,0,0,5,0,0,0,0,0,1,0,0
2024,ERI,0,0,0,0,0,302,0,0,42,0,0,27,0,0,11,0,0,0,0,0,0,0,0
1932,ESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,ESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,ESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,ESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,ESA,0,0,0,0,0,117,0,0,20,0,0,14,0,0,4,0,0,0,0,0,0,0,0
1992,ESA,0,0,0,0,0,172,0,0,24,0,0,18,0,0,104,0,0,0,0,0,0,0,0
1996,ESA,0,0,0,0,0,195,0,0,28,0,0,21,0,0,18,0,0,0,0,0,0,0,0
2000,ESA,0,0,0,0,0,221,0,0,29,0,0,21,0,0,15,0,0,0,0,0,0,0,0
2004,ESA,0,0,0,0,0,237,117,0,31,20,0,23,14,0,7,4,0,0,0,0,0,0,0
2008,ESA,0,0,0,0,0,257,172,0,34,24,0,25,18,0,6,104,0,0,0,0,0,0,0
2012,ESA,0,0,0,0,0,271,195,0,37,28,0,25,21,0,10,18,0,0,0,0,0,0,0
2016,ESA,0,0,0,0,0,300,221,0,40,29,0,27,21,0,10,15,0,0,0,0,0,0,0
2020,ESA,0,0,0,0,0,301,237,117,40,31,20,27,23,14,9,7,4,0,0,0,0,0,0
2024,ESA,0,0,0,0,0,302,257,172,42,34,24,27,25,18,14,6,104,0,0,0,0,0,0
1900,ESP,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,ESP,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,ESP,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,ESP,0,0,1,0,1,97,0,0,22,0,0,20,0,0,12,0,0,2,0,0,2,0,0
1948,ESP,0,3,0,0,3,156,0,0,29,0,0,22,0,0,111,0,0,0,0,0,23,0,0
1952,ESP,0,1,0,0,1,126,0,0,23,0,0,17,0,0,151,0,0,0,0,0,0,0,0
1956,ESP,0,0,0,0,0,109,0,0,20,0,0,14,0,0,106,0,0,3,0,0,3,0,0
1960,ESP,0,0,14,0,14,117,97,0,20,22,0,14,20,0,8,12,0,0,2,0,1,2,0
1964,ESP,0,0,0,0,0,136,156,0,23,29,0,17,22,0,84,111,0,0,0,0,3,23,0
1968,ESP,0,0,0,0,0,149,126,0,23,23,0,17,17,0,42,151,0,0,0,0,1,0,0
1972,ESP,0,0,1,0,1,151,109,0,23,20,0,17,14,0,12,106,0,0,3,0,0,3,0
1976,ESP,0,6,0,0,6,150,117,97,23,20,22,17,14,20,238,8,12,0,0,2,14,1,2
1980,ESP,2,19,3,0,24,163,136,156,25,23,29,19,17,22,67,84,111,0,0,0,0,3,23
1984,ESP,2,14,3,0,19,172,149,126,24,23,23,18,17,17,137,42,151,0,0,0,0,1,0
1988,ESP,1,2,2,0,5,195,151,109,28,23,20,21,17,14,162,12,106,0,0,3,1,0,3
1992,ESP,48,19,2,1,69,198,150,117,27,23,20,21,17,14,160,238,8,0,0,0,6,14,1
1996,ESP,23,21,22,0,66,203,163,136,27,25,23,21,19,17,211,67,84,2,0,0,24,0,3
2000,ESP,3,19,20,0,42,221,172,149,29,24,23,21,18,17,257,137,42,2,0,0,19,0,1
2004,ESP,4,17,9,0,30,237,195,151,31,28,23,23,21,17,317,162,12,1,0,0,5,1,0
2008,ESP,7,47,16,0,70,257,198,150,34,27,23,25,21,17,537,160,238,48,0,0,69,6,14
2012,ESP,5,33,25,0,63,271,203,163,37,27,25,25,21,19,384,211,67,23,2,0,66,24,0
2016,ESP,9,19,17,0,45,300,221,172,40,29,24,27,21,18,431,257,137,3,2,0,42,19,0
2020,ESP,4,44,22,0,70,301,237,195,40,31,28,27,23,21,423,317,162,4,1,0,30,5,1
2024,ESP,40,7,36,0,83,302,257,198,42,34,27,27,25,21,355,537,160,7,48,0,70,69,6
1920,EST,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,EST,1,1,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,EST,2,1,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,EST,2,2,3,0,7,156,0,0,29,0,0,22,0,0,20,0,0,1,0,0,3,0,0
1992,EST,1,0,2,0,3,126,0,0,23,0,0,17,0,0,47,0,0,1,0,0,6,0,0
1996,EST,0,0,0,0,0,109,0,0,20,0,0,14,0,0,23,0,0,2,0,0,9,0,0
2000,EST,1,0,2,0,3,117,0,0,20,0,0,14,0,0,3,0,0,0,0,0,0,0,0
2004,EST,0,1,2,0,3,129,156,0,25,29,0,19,22,0,36,20,0,2,1,0,7,3,0
2008,EST,1,2,0,0,3,257,126,0,34,23,0,25,17,0,46,47,0,1,1,0,3,6,0
2012,EST,0,1,1,0,2,271,109,0,37,20,0,25,14,0,52,23,0,0,2,0,0,9,0
2016,EST,0,0,4,0,4,300,117,0,40,20,0,27,14,0,41,3,0,1,0,0,3,0,0
2020,EST,4,0,1,0,5,301,129,156,40,25,29,27,19,22,45,36,20,0,2,1,3,7,3
2024,EST,0,0,0,0,0,302,257,126,42,34,23,27,25,17,53,46,47,1,1,1,3,3,6
1956,ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,ETH,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,ETH,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,ETH,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,ETH,0,0,2,0,2,151,0,0,23,0,0,17,0,0,30,0,0,0,0,0,0,0,0
1980,ETH,2,0,2,0,4,150,0,0,23,0,0,17,0,0,15,0,0,1,0,0,1,0,0
1992,ETH,1,0,2,0,3,163,0,0,25,0,0,19,0,0,19,0,0,1,0,0,1,0,0
1996,ETH,2,0,1,0,3,172,0,0,24,0,0,18,0,0,26,0,0,1,0,0,2,0,0
2000,ETH,4,1,3,0,8,195,151,0,28,23,0,21,17,0,40,30,0,0,0,0,2,0,0
2004,ETH,2,3,2,0,7,203,150,0,27,23,0,21,17,0,48,15,0,2,1,0,4,1,0
2008,ETH,4,1,2,0,7,257,163,0,34,25,0,25,19,0,24,19,0,1,1,0,3,1,0
2012,ETH,3,1,3,0,7,271,172,0,37,24,0,25,18,0,19,26,0,2,1,0,3,2,0
2016,ETH,1,2,5,0,8,300,195,151,40,28,23,27,21,17,27,40,30,4,0,0,8,2,0
2020,ETH,1,1,2,0,4,301,203,150,40,27,23,27,21,17,27,48,15,2,2,1,7,4,1
2024,ETH,1,3,0,0,4,302,257,163,42,34,25,27,25,19,29,24,19,4,1,1,7,3,1
1992,EUN,92,61,67,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,FIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,FIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,FIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,FIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,FIJ,0,0,0,0,0,151,0,0,23,0,0,17,0,0,5,0,0,0,0,0,0,0,0
1984,FIJ,0,0,0,0,0,150,0,0,23,0,0,17,0,0,3,0,0,0,0,0,0,0,0
1988,FIJ,0,0,0,0,0,172,0,0,24,0,0,18,0,0,1,0,0,0,0,0,0,0,0
1992,FIJ,0,0,0,0,0,195,0,0,28,0,0,21,0,0,4,0,0,0,0,0,0,0,0
1996,FIJ,0,0,0,0,0,198,151,0,27,23,0,21,17,0,5,5,0,0,0,0,0,0,0
2000,FIJ,0,0,0,0,0,221,150,0,29,23,0,21,17,0,26,3,0,0,0,0,0,0,0
2004,FIJ,0,0,0,0,0,237,172,0,31,24,0,23,18,0,41,1,0,0,0,0,0,0,0
2008,FIJ,0,0,0,0,0,257,195,0,34,28,0,25,21,0,36,4,0,0,0,0,0,0,0
2012,FIJ,0,0,0,0,0,271,198,151,37,27,23,25,21,17,21,5,5,0,0,0,0,0,0
2016,FIJ,13,0,0,0,13,300,221,150,40,29,23,27,21,17,9,26,3,0,0,0,0,0,0
2020,FIJ,13,0,13,0,26,301,237,172,40,31,24,27,23,18,9,41,1,0,0,0,0,0,0
2024,FIJ,0,14,0,0,14,302,257,195,42,34,28,27,25,21,6,36,4,0,0,0,0,0,0
1906,FIN,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,FIN,1,1,28,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,FIN,9,40,22,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,FIN,21,14,17,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,FIN,24,13,15,0,52,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,4,0,0
1928,FIN,8,8,9,0,25,110,0,0,25,0,0,22,0,0,94,0,0,1,0,0,30,0,0
1932,FIN,5,8,16,0,29,102,0,0,18,0,0,14,0,0,233,0,0,9,0,0,71,0,0
1936,FIN,8,6,13,0,27,156,0,0,29,0,0,22,0,0,136,0,0,21,0,0,52,0,0
1948,FIN,17,8,8,0,33,126,0,0,23,0,0,17,0,0,253,18,0,24,2,0,52,4,0
1952,FIN,8,3,29,1,40,109,110,0,20,25,0,14,22,0,132,94,0,8,1,0,25,30,0
1956,FIN,3,1,22,0,26,117,102,0,20,18,0,14,14,0,66,233,0,5,9,0,29,71,0
1960,FIN,1,1,4,0,6,129,156,0,25,29,0,19,22,0,186,136,0,8,21,0,27,52,0
1964,FIN,3,0,2,0,5,136,126,0,23,23,0,17,17,0,215,253,18,17,24,2,33,52,4
1968,FIN,1,2,1,0,4,149,109,110,23,20,25,17,14,22,412,132,94,8,8,1,40,25,30
1972,FIN,3,1,6,0,10,151,117,102,23,20,18,17,14,14,147,66,233,3,5,9,26,29,71
1976,FIN,4,2,0,0,6,150,129,156,23,25,29,17,19,22,219,186,136,1,8,21,6,27,52
1980,FIN,3,1,5,0,9,163,136,126,25,23,23,19,17,17,151,215,253,3,17,24,5,33,52
1984,FIN,4,2,6,0,12,172,149,109,24,23,20,18,17,14,126,412,132,1,8,8,4,40,25
1988,FIN,1,1,2,0,4,195,151,117,28,23,20,21,17,14,133,147,66,3,3,5,10,26,29
1992,FIN,1,4,2,0,7,198,150,129,27,23,25,21,17,19,108,219,186,4,1,8,6,6,27
1996,FIN,1,2,1,0,4,203,163,136,27,25,23,21,19,17,125,151,215,3,3,17,9,5,33
2000,FIN,3,1,1,0,5,221,172,149,29,24,23,21,18,17,107,126,412,4,1,8,12,4,40
2004,FIN,0,2,0,0,2,237,195,151,31,28,23,23,21,17,101,133,147,1,3,3,4,10,26
2008,FIN,1,2,2,0,5,257,198,150,34,27,23,25,21,17,130,108,219,1,4,1,7,6,6
2012,FIN,0,1,4,0,5,271,203,163,37,27,25,25,21,19,105,125,151,1,3,3,4,9,5
2016,FIN,0,0,1,0,1,300,221,172,40,29,24,27,21,18,88,107,126,3,4,1,5,12,4
2020,FIN,0,0,2,0,2,301,237,195,40,31,28,27,23,21,67,101,133,0,1,3,2,4,10
2024,FIN,0,0,0,0,0,302,257,198,42,34,27,27,25,21,70,130,108,1,1,4,5,7,6
1896,FRA,5,4,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,FRA,52,101,82,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,FRA,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,FRA,20,16,28,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,FRA,12,5,23,0,40,43,0,0,10,0,0,11,0,0,26,0,0,5,0,0,11,0,0
1912,FRA,10,11,5,0,26,97,0,0,22,0,0,20,0,0,1071,0,0,52,0,0,235,0,0
1920,FRA,13,71,57,0,141,95,0,0,18,0,0,16,0,0,2,0,0,0,0,0,2,0,0
1924,FRA,37,51,22,1,110,0,0,0,0,0,0,0,0,0,174,0,0,20,0,0,64,0,0
1928,FRA,12,24,14,0,50,110,43,0,25,10,0,22,11,0,319,26,0,12,5,0,40,11,0
1932,FRA,26,8,6,0,40,102,97,0,18,22,0,14,20,0,232,1071,0,10,52,0,26,235,0
1936,FRA,13,13,18,0,44,156,95,0,29,18,0,22,16,0,452,2,0,13,0,0,141,2,0
1948,FRA,26,22,24,0,72,126,0,0,23,0,0,17,0,0,636,174,0,37,20,0,110,64,0
1952,FRA,14,9,17,0,40,109,110,43,20,25,10,14,22,11,422,319,26,12,12,5,50,40,11
1956,FRA,7,13,13,0,33,117,102,97,20,18,22,14,14,20,159,232,1071,26,10,52,40,26,235
1960,FRA,0,6,6,0,12,129,156,95,25,29,18,19,22,16,303,452,2,13,13,0,44,141,2
1964,FRA,1,13,17,0,31,136,126,0,23,23,0,17,17,0,433,636,174,26,37,20,72,110,64
1968,FRA,12,5,10,0,27,149,109,110,23,20,25,17,14,22,408,422,319,14,12,12,40,50,40
1972,FRA,2,5,15,0,22,151,117,102,23,20,18,17,14,14,227,159,232,7,26,10,33,40,26
1976,FRA,5,7,8,0,20,150,129,156,23,25,29,17,19,22,363,303,452,0,13,13,12,44,141
1980,FRA,18,5,6,0,29,163,136,126,25,23,23,19,17,17,214,433,636,1,26,37,31,72,110
1984,FRA,20,16,31,0,67,172,149,109,24,23,20,18,17,14,311,408,422,12,14,12,27,40,50
1988,FRA,12,4,13,0,29,195,151,117,28,23,20,21,17,14,356,227,159,2,7,26,22,33,40
1992,FRA,9,5,43,0,57,198,150,129,27,23,25,21,17,19,302,363,303,5,0,13,20,12,44
1996,FRA,21,10,20,0,51,203,163,136,27,25,23,21,19,17,200,214,433,18,1,26,29,31,72
2000,FRA,22,30,14,0,66,221,172,149,29,24,23,21,18,17,354,311,408,20,12,14,67,27,40
2004,FRA,21,10,22,0,53,237,195,151,31,28,23,23,21,17,413,356,227,12,2,7,29,22,33
2008,FRA,25,24,28,0,77,257,198,150,34,27,23,25,21,17,486,302,363,9,5,0,57,20,12
2012,FRA,30,30,22,0,82,271,203,163,37,27,25,25,21,19,453,200,214,21,18,1,51,29,31
2016,FRA,20,55,21,0,96,300,221,172,40,29,24,27,21,18,470,354,311,22,20,12,66,67,27
2020,FRA,65,42,34,0,141,301,237,195,40,31,28,27,23,21,461,413,356,21,12,2,53,29,22
2024,FRA,53,95,39,1,187,302,257,198,42,34,27,27,25,21,448,486,302,25,9,5,77,57,20
1968,FRG,17,16,18,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,FRG,44,19,39,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,FRG,21,25,32,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,FRG,30,75,53,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,FRG,32,37,46,0,115,172,0,0,24,0,0,18,0,0,432,0,0,17,0,0,51,0,0
2000,FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,FSM,0,0,0,0,0,300,0,0,40,0,0,27,0,0,5,0,0,0,0,0,0,0,0
2020,FSM,0,0,0,0,0,301,0,0,40,0,0,27,0,0,5,0,0,0,0,0,0,0,0
2024,FSM,0,0,0,0,0,302,0,0,42,0,0,27,0,0,5,0,0,0,0,0,0,0,0
1972,GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
